"id","name","last_name","first_name","match_name","match","verified","group","cohort","pubs","first_year"
0,"Adapa, Ram","Adapa","Ram",NA,0,1,"Collaborator",NA,2,2020
1,"Ahn, Yong-Yeol","Ahn","Yong-Yeol","YY Ahn",1,1,"Faculty",NA,2,2019
2,"Aiyappa, Rachith","Aiyappa","Rachith",NA,0,1,"Collaborator",NA,1,2024
3,"Alipour, Abolfazl","Alipour","Abolfazl",NA,0,1,"Collaborator",NA,1,2024
4,"Allanson, Judith","Allanson","Judith",NA,0,1,"Collaborator",NA,1,2020
5,"Anderson, P. B.","Anderson","P. B.",NA,0,1,"Collaborator",NA,1,2022
6,"Au, Rhoda","Au","Rhoda",NA,0,1,"Collaborator",NA,1,2021
7,"Axelrod, David","Axelrod","David","David Axelrod",1,1,"Fellow","2019",3,2020
8,"Bailey, J. M.","Bailey","J. M.",NA,0,1,"Collaborator",NA,1,2020
9,"Bailey, R. L.","Bailey","R. L.",NA,0,1,"Collaborator",NA,1,2021
10,"Barrat, Alain","Barrat","Alain",NA,0,1,"Collaborator",NA,1,2023
11,"Barron, Alexander TJ","Barron","Alexander TJ","Alexander Barron",1,1,"Affiliate","2019-2020",3,2018
12,"Barthelemy, Marc","Barthelemy","Marc",NA,0,1,"Collaborator",NA,1,2024
13,"Baskota, U.","Baskota","U.",NA,0,1,"Collaborator",NA,1,2020
14,"Beer, Randall D","Beer","Randall D","Randy Beer",1,1,"Faculty",NA,1,2023
15,"Beggs, John M","Beggs","John M","John Beggs",1,1,"Faculty",NA,5,2019
16,"Bell, Z.","Bell","Z.",NA,0,1,"Collaborator",NA,1,2024
17,"Benson, Lauren V","Benson","Lauren V","Lauren Benson",1,1,"Fellow","2019",1,2020
18,"Berardi, M.","Berardi","M.",NA,0,1,"Collaborator",NA,1,2024
19,"Betzel, Richard F","Betzel","Richard F","Richard Betzel",1,1,"Faculty",NA,4,2021
20,"Bhoyar, S.","Bhoyar","S.",NA,0,1,"Collaborator",NA,1,2021
21,"Blekking, Jordan","Blekking","Jordan",NA,0,1,"Collaborator",NA,2,2021
22,"Bollen, Johan","Bollen","Johan","Johan Bollen",1,1,"Faculty",NA,4,2020
23,"Bollenbacher, John","Bollenbacher","John",NA,0,1,"Collaborator",NA,1,2021
24,"Boothby, Clara","Boothby","Clara",NA,0,1,"Collaborator",NA,1,2020
25,"Botticelli, M.","Botticelli","M.",NA,0,1,"Collaborator",NA,1,2024
26,"Braat, Q. J. S.","Braat","Q. J. S.",NA,0,1,"Collaborator",NA,1,2024
27,"Bryden, John","Bryden","John",NA,0,1,"Collaborator",NA,2,2021
28,"Brüningk, Sarah C","Brüningk","Sarah C",NA,0,1,"Collaborator",NA,1,2024
29,"Bueckle, Andreas","Bueckle","Andreas",NA,0,1,"Collaborator",NA,1,2019
30,"Burkhardt, Hannah A","Burkhardt","Hannah A",NA,0,1,"Collaborator",NA,1,2021
31,"Byrge, Lisa","Byrge","Lisa",NA,0,1,"Collaborator",NA,1,2023
32,"Börner, Katy","Borner","Katy","Katy Borner",1,1,"Faculty",NA,10,2018
33,"Camacho-Artacho, Marta","Camacho-Artacho","Marta",NA,0,1,"Collaborator",NA,1,2024
